Time,Ground Truth,Estimation
0,896,683
1,624,512
2,116,160
3,305,390
4,724,683
5,718,598
6,634,683
7,971,598
8,229,278
9,107,171
10,659,512
11,315,427
12,721,619
13,485,395
14,221,214
15,459,491
16,768,598
17,159,272
18,346,405
19,703,555
20,336,299
21,626,512
22,824,598
23,970,555
24,737,512
25,493,491
26,411,363
27,375,480
28,583,512
29,543,427
30,830,640
31,787,598
32,956,683
33,588,470
34,102,192
35,869,640
36,777,640
37,266,299
38,740,598
39,114,198
40,183,214
41,384,309
42,360,491
43,447,459
44,603,427
45,218,352
46,947,683
47,498,470
48,901,619
49,145,176
